"","alcohol","sulfatos","ácido_cítrico","acidez_fija","calidad"
"1",9.4,0.56,0,7.4,5
"2",9.8,0.68,0,7.8,5
"3",9.8,0.65,0.04,7.8,5
"4",9.8,0.58,0.56,11.2,6
"5",9.4,0.56,0,7.4,5
"6",9.4,0.56,0,7.4,5
"7",9.4,0.46,0.06,7.9,5
"8",10,0.47,0,7.3,7
"9",9.5,0.57,0.02,7.8,7
"10",10.5,0.8,0.36,7.5,5
"11",9.2,0.54,0.08,6.7,5
"12",10.5,0.8,0.36,7.5,5
"13",9.9,0.52,0,5.6,5
"14",9.1,1.56,0.29,7.8,5
"15",9.2,0.88,0.18,8.9,5
"16",9.2,0.93,0.19,8.9,5
"17",10.5,0.75,0.56,8.5,7
"18",9.3,1.28,0.28,8.1,5
"19",9,0.5,0.08,7.4,4
"20",9.2,1.08,0.51,7.9,6
"21",9.4,0.53,0.48,8.9,6
"22",9.7,0.65,0.31,7.6,5
"23",9.5,0.91,0.21,7.9,5
"24",9.4,0.53,0.11,8.5,5
"25",9.7,0.63,0.14,6.9,6
"26",9.3,0.56,0.16,6.3,5
"27",9.5,0.59,0.24,7.6,5
"28",9.5,0.91,0.21,7.9,5
"29",9.4,0.55,0,7.1,5
"30",9.8,0.59,0,7.8,6
"31",10.1,0.54,0.07,6.7,5
"32",10.6,0.57,0,6.9,6
"33",9.8,0.66,0.12,8.3,5
"34",9.4,0.52,0.12,6.9,6
"35",9.2,0.55,0.25,5.2,5
"36",9.6,0.55,0,7.8,6
"37",10.8,0.6,0.14,7.8,6
"38",9.7,0.73,0.28,8.1,7
"39",9.8,0.48,0.09,5.7,4
"40",10.5,0.83,0.36,7.3,5
"41",10.5,0.83,0.36,7.3,5
"42",9.3,0.51,0.3,8.8,4
"43",10.5,0.9,0.2,7.5,6
"44",10.3,1.2,0.22,8.1,5
"45",9.5,0.52,0.02,6.8,5
"46",13.1,0.56,0.15,4.6,4
"47",9.2,0.73,0.43,7.7,5
"48",9.5,0.58,0.52,8.7,5
"49",9.2,0.56,0.23,6.4,5
"50",9.2,0.58,0.37,5.6,5
"51",9.2,0.74,0.26,8.8,5
"52",9.4,0.63,0.04,6.6,6
"53",9.4,0.64,0.04,6.6,6
"54",9.4,0.56,0.36,8.6,5
"55",10.2,0.63,0.15,7.6,6
"56",9.5,0.53,0.04,7.7,5
"57",9.6,0.63,0.57,10.2,5
"58",9.4,0.77,0.12,7.5,5
"59",10,0.59,0.18,7.8,5
"60",9.4,0.54,0.31,7.3,6
"61",9.2,0.64,0.4,8.8,5
"62",9.3,0.71,0.49,7.7,5
"63",9.5,0.62,0.16,7.5,7
"64",9.8,0.57,0.05,7,5
"65",10.9,0.39,0.05,7.2,5
"66",10.9,0.39,0.05,7.2,5
"67",9.6,0.58,0.11,7.5,5
"68",10.7,0.58,0.07,6.6,5
"69",10.7,0.79,0.57,9.3,5
"70",10.5,0.95,0.05,8,6
"71",9.5,0.54,0.08,7.7,6
"72",9.5,0.48,0.23,7.7,5
"73",9.5,0.48,0.22,7.7,5
"74",9.2,0.53,0.26,8.3,4
"75",9.6,0.82,0.54,9.7,5
"76",10.5,0.66,0.64,8.8,5
"77",10.5,0.66,0.64,8.8,5
"78",10.7,0.55,0,6.8,6
"79",10.1,0.52,0.12,6.7,5
"80",9.1,1.12,0.2,8.3,4
"81",9.2,0.56,0.2,6.2,5
"82",9.4,1.28,0.7,7.8,5
"83",9.1,0.57,0.47,7.4,5
"84",9.4,1.14,0.26,7.3,5
"85",10.3,0.78,0.48,6.3,6
"86",10.1,0.59,0.15,6.9,5
"87",9.9,1.95,0.28,8.6,6
"88",9.6,0.64,0.26,7.7,5
"89",9.5,1.22,0.44,9.3,5
"90",9,0.53,0.08,7,5
"91",9.5,0.54,0.26,7.9,5
"92",9.9,1.95,0.28,8.6,6
"93",9.8,1.98,0.29,8.6,5
"94",9.6,0.64,0.26,7.7,5
"95",10.5,0.48,0.04,5,4
"96",12.9,0.6,0.17,4.7,6
"97",10.7,0.56,0,6.8,5
"98",9.2,0.63,0.25,7,5
"99",9.8,0.56,0.06,7.6,5
"100",9,0.59,0.18,8.1,6
"101",10.2,0.61,0.3,8.3,6
"102",10.4,0.56,0.3,7.8,6
"103",9,0.59,0.18,8.1,6
"104",9.2,0.51,0.22,8.1,5
"105",9.4,0.48,0.24,7.2,5
"106",9.2,0.51,0.22,8.1,5
"107",9.3,1.31,0.68,7.8,5
"108",9.3,0.79,0.31,6.2,5
"109",9.6,0.8,0.53,8,6
"110",9.3,0.69,0.52,8.1,5
"111",9.5,0.93,0.19,7.8,5
"112",9.8,0.66,0.09,8.4,5
"113",9.8,0.66,0.1,8.4,5
"114",9.7,0.67,0.44,10.1,6
"115",9.5,0.93,0.19,7.8,5
